tipo;denominacion;orden;estado;codigo;tipo_nombre;updated_at;cod_contable
SERIES;F003;3;A;FT;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;F004;4;A;FT;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;F005;5;A;FT;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;B001;1;A;BV;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;B002;2;A;BV;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;F001;2;C;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;F002;3;C;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;F003;4;C;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;FD01;2;A;NDF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;BC01;1;A;NCB;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;BD01;1;A;NDB;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;FC01;1;A;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;FC02;2;A;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;FC03;3;A;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;FC04;4;A;NCF;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;E001;1;A;FT;SERIES DE FACTURACIÓN;16/03/2020 14:27;
SERIES;EB01;1;A;BV;SERIES DE FACTURACIÓN;16/03/2020 14:27;
CAJA;CAJA 1;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 2;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 3;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 4;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 5;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 6;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 7;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 8;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 9;1;A;CJ;CAJA;16/03/2020 14:27;
CAJA;CAJA 10;1;A;CJ;CAJA;16/03/2020 14:27;
BALANZA;CAJA BAL 1;1;A;CJ;BALANZA;23/08/2020 14:27;
BALANZA;CAJA BAL 2;1;A;CJ;BALANZA;23/08/2020 14:27;
CARRETA;CAJA CAR 1;1;A;CJ;CARRETA;23/08/2020 14:27;
CARRETA;CAJA CAR 2;1;A;CJ;CARRETA;23/08/2020 14:27;
SERIES;T001;1;A;TK;SERIES DE FACTURACIÓN;23/08/2020 14:27;
ESTADO BALANZA;ESTADO BALANZA;1;A;2;ESTADO BALANZA;23/08/2020 14:27;
BALANZA;CAJA BAL 3;1;A;CJ;BALANZA;23/08/2020 14:27;
ESPACIO;ESPACIO 1;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 2;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 3;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 4;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 5;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 6;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 7;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 8;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 9;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 10;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 11;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 12;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 13;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 14;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 15;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 16;1;A;EST;ESPACIO;23/08/2020 14:27;
ESPACIO;ESPACIO 17;1;A;EST;ESPACIO;23/08/2020 14:27;
